Mother Prompt,Child Response,Raw Score,Extracted Score
is it my turn now ?,you have to read it .,2,2.0
"no , he went to work !",i want to go to sleep !,2,2.0
who do you think it's from ?,from the cow .,3,3.0
it's not turned on though .,no .,2,2.0
what's his Mummy called ?,i don't know .,2,2.0
want some cheese ?,mm cheese .,4,4.0
and where else did we see real dolphins ?,there .,2,2.0
she wants to go iceskating ?,she wants to go in a circle .,2,2.0
people on the bus step out and in .,more .,2,2.0
that is Dora's house .,my house .,1,1.0
you used to cry sometimes .,but i used to cry when i was a baby,3,3.0
driving over the juice ?,help .,2,2.0
does the farmer go in the water too ?,yeah .,3,3.0
are you having some tea Bob ?,oh look .,1,1.0
it's not a helicopter .,it is a helicopter .,1,1.0
how many bricks ?,one two .,2,2.0
this is the one that we keep landing on .,this one ?,3,3.0
do you like chips ?,yes .,4,4.0
it's up to you .,that's a nice fish .,2,2.0
he's cute huh ?,cute .,4,4.0
and an orange boat .,and a red .,3,3.0
and today's date .,yeah .,1,1.0
has she got a coat ?,no .,2,2.0
they eating breakfast outside because the weather is so pretty ?,yeah .,3,3.0
and Dimitra's not happy if you're doing that .,so .,2,2.0
I want that .,dear .,3,3.0
does a leg go on her back ?,no .,3,3.0
I don't think so .,you are a goose .,1,1.0
want to go to the toilet ?,no !,1,1.0
"no , not that one .",this is a mommy one .,3,3.0
is your nose sore ?,yes .,3,3.0
they have worms .,yes .,2,2.0
Ewww said that ?,yeah .,3,3.0
shall we turn the page ?,h .,2,2.0
it does look like a scorpion .,what's that ?,3,3.0
what is that ?,a baby .,3,3.0
it means now .,it means what ?,2,2.0
but what do you think she is here ?,yeah .,1,1.0
you'll know which is biggest .,that's biggest .,3,3.0
come sit down .,i needta do it .,2,2.0
but you can't have it right now .,why ?,3,3.0
is it this ?,yes .,4,4.0
"that's a lovely rainbow , Helen .",thank you .,3,3.0
and where's Linda ?,yeah .,1,1.0
I said do you know what you're going to do in school today ?,what ?,2,2.0
what sort of things do you see ?,a this ?,2,2.0
are you going ?,yes .,3,3.0
I'll get it for you .,it's gone .,3,3.0
sit properly at the table .,oh no .,2,2.0
you want pour some juice for pooh ?,no .,2,2.0
you can twist it .,twist it .,3,3.0
do you have any coffee ?,yep .,2,2.0
grass on your hands ?,no .,2,2.0
a little bit lower .,just a little bit lower case .,3,3.0
you've got a little small spot on your hand .,on there .,3,3.0
"yeah, horsie goes there ?",no .,2,2.0
you need some help ?,yyy .,1,1.0
that baby's hand ?,no .,2,2.0
you can mail it if you want to .,what's that one ?,2,2.0
I haven't got milk on my cereal and it's quite hard to eat .,i've got more than you .,2,2.0
make her little ?,make her right here .,2,2.0
and I bet you ate more than you .,more .,2,2.0
"what's inside , what can you see ?",a .,2,2.0
"I can't make your bed if the light's off , Helen .",but i want it on .,3,3.0
you can see their face but you don't see all that fur going around there .,what this ?,1,1.0
I don't understand what you mean .,a cat .,2,2.0
a big happy smile .,but i know this is the door .,2,2.0
and what are these called ?,stones .,2,2.0
how do you know how to do that ?,do .,2,2.0
Sooty wasn't allowed in the shop .,no .,2,2.0
no you're not .,yyy ?,2,2.0
do you think so ?,yeah .,3,3.0
you want some more to put in there ?,i have got this .,2,2.0
I think it'll be cheese sandwiches .,cheese sandwiches .,4,4.0
what did Grandma say when you asked her if you could have a trampoline for your birthday .,i got dora .  red .,2,2.0
you drew two legs and wiggily worm ?,yeah .,3,3.0
what did I just say to you ?,no .,2,2.0
what do you mean by here Johnny .,oh .,2,2.0
he needs to take uh some time out and rest ?,no .,2,2.0
I love you too .,oh !,3,3.0
did I point my finger at you ?,here you are .,3,3.0
why did you want Daddy ?,because i didn't know .,2,2.0
can we come and look at all your animals ?,yep .,2,2.0
these are red .,red and yellow .,3,3.0
"okay , now see if you can cut a paper doll .",alright .,4,4.0
"yes, I know .",look what i found .,3,3.0
you like milk .,like milk ?,3,3.0
on his knee ?,no .,2,2.0
there you go .,is it all right to bring it home ?,3,3.0
will I not find it ?,no .,3,3.0
now just be careful .,mummy .,3,3.0
I don't think they have it here .,you do .,2,2.0
do you want toast ?,yeah .,4,4.0
I think it's on again tomorrow .,it's on again .,3,3.0
"is that a, a lady or a man ?",a lady .,4,4.0
"what is it , Fraser ?",yes .,1,1.0
Mummy's going to have a little bit of toast with some Marmite .,minute .,2,2.0
I just wanted to see if you wanted me to stay or whether you wanted to .,i want to stay alive .  nights with you .  awhile .  wise .,3,3.0
he's bumped two feet ?,yeah .,3,3.0
which Teletubby are we having this time ?,tinky winky .,4,4.0
it's called a waistcoat .,but what the ones on .,2,2.0
my letter is or your letter is ?,i'm just going to turn the page .,2,2.0
is that her cap ?,yep .,3,3.0
I was going to put it on with the other ice .,that ice cube is for .,2,2.0
is this a boy ?,yeah .,3,3.0
it is huh ?,only girls .,3,3.0
is it upstairs ?,yeah .,4,4.0
where are we going ?,to have a look .,3,3.0
when I'm busy .,i'm not .,2,2.0
what's on the shelf ?,a crab .,2,2.0
better go save the other animals then .,no .,2,2.0
ducks in the pond .,please can i have a go on your bike ?,1,1.0
"say don't do that , dinosaur .","don't do that , pig .",2,2.0
have you got your farm book now ?,yeah .,3,3.0
what else is in there ?,that .,2,2.0
a carrot for his nose .,carrot .,3,3.0
where are they ?,in scotland .,3,3.0
what do you say ?,please .,3,3.0
who fell down ?,the giant .,3,3.0
oh I love orange juice .,no .,1,1.0
is that lovely ?,yeah .,3,3.0
ooh here's Helen eating her pizza .,and there's pooh bear .,3,3.0
I mean you know .,yes .,2,2.0
and it splashed out ?,yeah .,3,3.0
I think you do .,yeah .,3,3.0
what kind of tricks are you going to do ?,baby .,2,2.0
but I thought the lion was the same color as this one .,oh .,3,3.0
I don't know .,where are they ?,2,2.0
are you coming downstairs ?,nope .,2,2.0
you found the screwdriver .,can't get it in .,3,3.0
"this is a nice table, huh ?",a nice table .,2,2.0
"well don't lie on the kitchen floor , Thomas .",no .,3,3.0
you have got a lot of shopping there .,i have .,4,4.0
Lenny'll come over Sunday night .,alright .,4,4.0
she'll miss her .,yeah .,3,3.0
I think you've got them all .,yeah .,3,3.0
we'll get you a separate .,cool .,3,3.0
are you going to make me a cup of tea ?,pardon ?,2,2.0
wait until you get your seeds ?,thank you .,2,2.0
can Bert sleep with a chair on his head ?,yeah .,3,3.0
you look like you've been up the chimney .,yeah .,2,2.0
you speak like that you don't go anywhere .,i don't know .,2,2.0
I'll get it .,i want to play with it .,3,3.0
don't know what that pig is .,he's not in there .,2,2.0
push your foot in .,let me do it .,4,4.0
tell Kent what Santa Claus brought you over at Nana's house .,a snake .,2,2.0
this is July thirtieth .,for this ?,2,2.0
you've got dirty hands again ?,there .,2,2.0
do you remember when we went to Jo's house ?,mhm .,2,2.0
oh you so silly .,i got to fix it .,2,2.0
you've just put a yellow Teletubby in my cup of tea .,yes .,2,2.0
why don't you do it ?,do it .,1,1.0
just because I opened the cupboard don't be cheeky and ask for Smarties .,having smarties .,3,3.0
is that Spot ?,yeah .,4,4.0
we seem to see fire engines every time we go out .,no .,1,1.0
no boiled enchilada okay .,where's cassbalama pictures ?,1,1.0
what are you .,yeah .,1,1.0
and small toes .,mouse .,2,2.0
what do they do ?,snap .,2,2.0
you were telling Grandma and Granddad we were reading the books and then said goodbye .,a yes .,2,2.0
he's got a swing like that doesn't he ?,yeah .,3,3.0
shall we make a man ?,no .,2,2.0
you can put them back in again if you want .,the baba .,3,3.0
oh you'd better get that ambulance and take the people out of there .,uhuh .,2,2.0
but it's so thin he's going snip snip snip .,snip snip .,3,3.0
you want Mommy to put it together ?,yeah .,4,4.0
that's Eric's book but you can look too .,i want that .,3,3.0
okay get up .,here you go .,3,3.0
because it's gone a bit dark .,this the one that had the red .,3,3.0
you want to have somebody come in here and talk with them ?,and then i will close my house .,2,2.0
are you wearing Jwww's pants ?,yeah .,3,3.0
where's the end ?,end off ?,2,2.0
that looks like a chest of drawers ?,it's his head .,2,2.0
"good night , Peppa .",and peppa will have one .,2,2.0
who's going to catch it ?,who's that ?,2,2.0
are you all full now ?,yeah .,3,3.0
because I think it goes in that way anyways .,oh .,3,3.0
one of the people .,don't .,2,2.0
I don't want to put them away but we've got to .,quack,0,0.0
where is he ?,upstairs .,4,4.0
what is it ?,yeah .,1,1.0
where are the Frosties ?,in the fridge .,4,4.0
is there any more banana on the left .,there .,2,2.0
a bite me .,i bite you .,2,2.0
that's a train that's right .,train .,3,3.0
so we can see how many we've got .,yeah .,3,3.0
piece for Caroline .,hooray for daddy .,2,2.0
"see, right here is your microphone .",yes .,3,3.0
who is that ?,a police officer .,4,4.0
I don't know .,a downstairs ?,1,1.0
could she use a bath ?,bath .,3,3.0
and then he drops it back down .,then .,2,2.0
should I put him to sleep ?,yeah .,3,3.0
is it the siren ?,yes .,4,4.0
I think when we go shopping we'll have to see if we can find a Thomas The Tank engine jigsaw .,yeah .,3,3.0
oh what do we do when there's two ?,two dancing dogs .,2,2.0
do you want to go and help Mummy in the kitchen ?,but i just need to help ya .,3,3.0
how old are you ?,i'm ten as well .,4,4.0
sing something with words .,yeah .,1,1.0
"Mummy's going to sort the tea out now , Thomas .",oh yes .,4,4.0
it has all gone .,all done .,3,3.0
there's a lot of things you can't do .,i'm having a look .,3,3.0
listen to your Mummy and Daddy too much there .,no .,2,2.0
you're a real nuisance .,no .,1,1.0
how come you stopped talking ?,how come you stopped talking ?,2,2.0
eggs come from chickens .,chicken .,3,3.0
and then what did we drive in when .,storing money .,1,1.0
you were the bridge !,no i wasn't .,2,2.0
what a good time you've had .,no .,2,2.0
there you go .,thanks .,4,4.0
I says to Bill .,thank you for my delivery man .,2,2.0
you're sitting on the cow ?,yeah .,3,3.0
where are we getting on ?,"in, home .",3,3.0
"that's too naughty , Thomas .",poor fireman .,3,3.0
have you found it ?,yeah .,3,3.0
what do you think it is ?,that's .,2,2.0
why are you talking about hedgehogs ?,because he's funny .,3,3.0
is that one going in the ditchwater as well ?,yes .,3,3.0
but what is she doing ?,taking a bath .,4,4.0
you haven't finished Cwww's card .,where's the card ?,2,2.0
is danny in there ?,yeah .,4,4.0
it looks like a .,what's that ?,3,3.0
that's another car .,car .,2,2.0
okay you do it .,here you go .,4,4.0
I bet I can hold all of those .,want more paint .,2,2.0
"yes, in fact, they are .",peanuts .,2,2.0
what did you do at nursery yesterday .,the pieces .,2,2.0
no it doesn't work .,on .,2,2.0
"well we're tidying up now , Fraser .",yeah .,3,3.0
where've you seen that ?,what is it ?,2,2.0
there's nobody here said Baby Bear .,person .,2,2.0
that's what I said .,knock knock .,1,1.0
this is just a shirt .,yyy .,1,1.0
are you going to put things away now ?,no .,2,2.0
but his nose still goes .,nose .,2,2.0
I hope you didn't go through any red lights .,red red red red red .,1,1.0
well we had some strawberries in the fridge .,and what happened ?,3,3.0
you've done all the yellow ones .,yes .,3,3.0
he's singing very good isn't he ?,yeah .,3,3.0
poke them in the eye ?,yeah .,3,3.0
Purdie has a litter tray .,yes .,3,3.0
oh no I'm in a fence .,not in .,2,2.0
does your tooth hurt you ?,yeah .,3,3.0
did you tell Daddy what you want Andy to give you for your birthday ?,yeah .,3,3.0
I notice you got the big one .,think i going to put this one back .,2,2.0
when I'm busy .,yeah .,2,2.0
you've been at your vacation ?,yeah .,3,3.0
oh it's on your lips .,on my lips .,3,3.0
you don't do that .,i don't want to .,3,3.0
how many legs does a starfish have ?,one two three four five six seven .,3,3.0
"okay, not quite what I meant but okay .",mommy .,2,2.0
what is your name ?,nina .,4,4.0
yeah see he's got you think he'll catch it ?,yeah .,3,3.0
don't stand on him .,i can't stand on him .,4,4.0
are they happy now ?,no .,2,2.0
not sticky any more ?,mm .,2,2.0
you have to hold that one still and then push that one on to it .,that's not it .,2,2.0
oh nothing special at the moment .,no .,2,2.0
you're stuck on the chair ?,mama sit down .,3,3.0
"say “excuse me” , Fraser .",excuse me .,5,5.0
what are you doing in there missie ?,getting food .,4,4.0
what's that little girl doing ?,she's playing with a .,3,3.0
"come on , Fraser .",oh there's .,2,2.0
so I don't have to throw it away .,you don't have to throw it away .,4,4.0
where did you get that from ?,i just got it from someone's door .,3,3.0
what's the roller doing ?,no controller .,2,2.0
"a prize , is it ?",yes .,4,4.0
where do bananas grow ?,bananas .,1,1.0
I thought it was Christmas .,did you ?,3,3.0
and now they're too expensive .,the next day was sunday again .,1,1.0
I don't know .,where's dolly's hand ?,2,2.0
you want to go on the computer ?,yeah .,4,4.0
what's the baby doing though ?,crying .,3,3.0
I want to play with it here .,no !,1,1.0
what's happening on the train track ?,they're in the water .,3,3.0
where're you going to go ?,to nana's .,4,4.0
did they go down the slide too ?,yeah .,4,4.0
stay in mummie's field ?,xxx .,0,0.0
so Mummy'll go upstairs and have a shower and put some clothes on and put some make up on .,i have made a bed for you .,2,2.0
what does this look like ?,i don't know .,2,2.0
you've dropped the apple with the skin on .,yes .,3,3.0
what were ya going to say ?,said we'll have to stop .,3,3.0
wow that's neat .,it's a .,2,2.0
oh very good .,yeah .,3,3.0
as long as it's .,but what about this one ?,3,3.0
making more tea ?,this is the baby .,2,2.0
and she had an idea .,yeah .,3,3.0
I thought you might like some blackcurrant juice for a change .,some orange juice .,2,2.0
it's a parrot .,a parrot .,4,4.0
